City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Saverne,FR,87.94,clear sky,48.8333,7.25,Hôtel Aux deux Clefs
581,Marsa Matruh,EG,86.2,clear sky,31.3525,27.2453,Beau Site
582,Bo Phloi,TH,77.23,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
585,Sao Gabriel Da Cachoeira,BR,76.8,mist,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
587,Wrzesnia,PL,83.71,overcast clouds,52.3251,17.5652,HOTEL KOSMOWSKI
588,Harper,LR,78.19,overcast clouds,4.375,-7.7169,Screensaver
591,Buala,SB,79.18,light rain,-8.145,159.5921,Maringe Lagoon Lodge
603,Garbolovo,RU,78.17,few clouds,60.3413,30.4955,emerald hills
604,Biltine,TD,83.3,light rain,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
605,Sibiti,CG,88.21,broken clouds,-3.6819,13.3499,Gaby et confort
612,Lugovoy,KZ,76.41,few clouds,42.9472,72.7644,Ж.Д Вокзал Луговая
613,Caravelas,BR,76.57,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
614,Akalkot,IN,77.72,few clouds,17.5333,76.2167,Hotel Vikas
616,Rakiv Lis,UA,81.97,overcast clouds,51.6217,24.9243,Turiya Hotelʹ
619,Wanning,CN,79.72,overcast clouds,18.8003,110.3967,Paradise Hotel
622,Auki,SB,75.49,overcast clouds,-8.7676,160.7034,Auki Motel
628,Santarem,BR,86.13,few clouds,-2.4431,-54.7083,Hotel Imperador
629,Claremore,US,81.41,clear sky,36.3126,-95.6161,Super 8 by Wyndham Claremore OK
633,Havelock,US,82.35,scattered clouds,34.8791,-76.9013,Sherwood Motel
637,Kashi,CN,85.21,overcast clouds,39.4547,75.9797,帕米尔青年旅舍
638,Nago,JP,81.03,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
639,Bianzhuang,CN,83.93,scattered clouds,34.8486,118.0447,Hao Shuo Business Hotel
641,Southbridge,US,77.45,few clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
642,Ambilobe,MG,75.47,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
643,Enshi,CN,79.29,clear sky,30.3,109.4833,Moevenpick Enshi
645,Vanimo,PG,77.92,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
647,Touros,BR,84.25,clear sky,-5.1989,-35.4608,INN NEW HORIZON
649,Santa Isabel Do Rio Negro,BR,85.89,scattered clouds,-0.4139,-65.0192,Hotel GSA
650,Gwadar,PK,83.05,overcast clouds,25.1216,62.3254,Sadaf Resort
651,Wenshang,CN,82.98,very heavy rain,35.7275,116.4961,Wenshang 1993 Theme Hotel
652,Vila Do Maio,CV,86.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
654,Tabou,CI,78.3,overcast clouds,4.423,-7.3528,hotêl doufoulougou
655,Solwezi,ZM,78.28,broken clouds,-12.1688,26.3894,Country Lodge Solwezi
657,Cuamba,MZ,82.22,few clouds,-14.8031,36.5372,Hotel Vision
658,Bandarbeyla,SO,79.2,scattered clouds,9.4942,50.8122,JABIR HOTEL
661,Changde,CN,83.91,broken clouds,29.0464,111.6783,Kangshida Hotel
663,Pemangkat,ID,81.43,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
664,Puerto Narino,CO,87.31,few clouds,-3.7703,-70.3831,Eware Refugio Amazonico
667,Rajmahal,IN,86.34,overcast clouds,25.05,87.8333,Marrage hall (विवाह भवन)
668,Namatanai,PG,78.76,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
669,Ambulu,ID,76.48,few clouds,-8.345,113.6058,Hotel Ambulu Jember
671,Morena,IN,86.29,overcast clouds,26.4969,78.0,Hotel Upkar Palace
672,Machaneng,BW,82.18,clear sky,-23.1862,27.4886,Matswelo Hotel
673,Toccoa,US,81.68,scattered clouds,34.5773,-83.3324,Quality Inn
674,Tarakan,ID,82.76,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
675,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
676,Kasane,BW,86.09,clear sky,-17.8167,25.15,The Old House
