City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,City Description
69,Ribeira Grande,38.5167,-28.7,79.2,78,20,11.5,PT,few clouds
70,Arlit,18.7369,7.3853,103.37,15,42,1.77,NE,scattered clouds
71,Sibolga,1.7427,98.7792,78.19,88,56,2.37,ID,broken clouds
72,Dikson,73.5069,80.5464,49.21,86,100,32.86,RU,overcast clouds
73,Sidney,-33.8679,151.2073,56.5,87,0,9.22,AU,light rain
74,Severo-Kurilsk,50.6789,156.125,54.63,98,100,12.35,RU,light rain
75,Ancud,-41.8697,-73.8203,44.22,77,100,8.77,CL,light rain
76,Saint-Philippe,-21.3585,55.7679,69.39,79,49,15.03,RE,light rain
77,Guerrero Negro,27.9769,-114.0611,72.27,85,15,4.61,MX,few clouds
78,Nanortalik,60.1432,-45.2371,45.18,86,100,3.2,GL,light rain
79,Amuntai,-2.4177,115.2494,79.41,83,97,1.39,ID,overcast clouds
80,Udachnyy,66.4167,112.4,46.45,93,100,14.92,RU,overcast clouds
81,Katsuura,35.1333,140.3,81.1,86,100,20.2,JP,overcast clouds
82,Inhambane,-23.865,35.3833,76.98,73,20,19.57,MZ,few clouds
83,Seydi,39.4816,62.9137,93.7,13,0,18.43,TM,clear sky
84,Teknaf,20.8624,92.3058,79.3,89,100,10.63,BD,overcast clouds
85,Bijie,27.3125,105.2942,65.89,92,1,6.22,CN,clear sky
86,Rikitea,-23.1203,-134.9692,72.95,73,100,21.32,PF,overcast clouds
87,Zheleznodorozhnyy,55.7503,38.0042,82.22,33,100,3.67,RU,overcast clouds
88,Sur,22.5667,59.5289,87.19,67,100,7.16,OM,overcast clouds
89,Cayenne,4.9333,-52.3333,89.1,21,75,6.91,GF,broken clouds
90,Verkhnetulomskiy,68.6073,31.7962,57.33,62,83,16.04,RU,broken clouds
91,Pacific Grove,36.6177,-121.9166,60.03,91,0,1.01,US,clear sky
92,San Cristobal,7.7669,-72.225,75.38,58,52,4.74,VE,broken clouds
93,Bengkulu,-3.8004,102.2655,76.93,88,49,3.71,ID,scattered clouds
94,Kropotkin,45.4375,40.5756,90.39,38,76,15.3,RU,broken clouds
95,Nemuro,43.3236,145.575,65.86,97,100,10.38,JP,overcast clouds
96,Ahipara,-35.1667,173.1667,52.02,70,96,7.34,NZ,overcast clouds
97,Graaff-Reinet,-32.2522,24.5308,64.92,31,100,11.18,ZA,overcast clouds
98,Qui Nhon,13.7667,109.2333,81.41,82,100,8.1,VN,overcast clouds
99,Thompson,55.7435,-97.8558,55.56,94,100,14.97,CA,light intensity drizzle
100,Boffa,10.1667,-14.0333,78.51,93,100,9.93,GN,moderate rain
101,Tuktoyaktuk,69.4541,-133.0374,48.2,93,75,5.75,CA,broken clouds
102,Clinton,42.587,-82.9199,71.94,76,0,5.75,US,clear sky
103,Saint-Pierre,-21.3393,55.4781,69.48,73,0,18.41,RE,clear sky
104,Villa Carlos Paz,-31.4241,-64.4978,67.28,29,2,17.0,AR,clear sky
105,Port-Gentil,-0.7193,8.7815,80.56,69,40,16.11,GA,scattered clouds
